No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
30040,2016,8,3,15,24,30,2,8,600,157,35.1,999.9,20.6,0,SE,2.4,Changping
30041,2016,8,3,16,21,30,2,8,600,155,34.5,999.7,20.1,0,ESE,2.1,Changping
30042,2016,8,3,17,18,29,2,9,600,148,35.1,999.3,19.5,0,E,1.7,Changping
30043,2016,8,3,18,23,35,2,12,700,156,34.8,998.9,20.4,0,NNE,1.7,Changping
30044,2016,8,3,19,31,44,2,15,700,150,33.3,999.1,21.1,0,NNE,1,Changping
30045,2016,8,3,20,32,50,2,21,800,152,31.5,999.6,22.8,0,ENE,2.2,Changping
30046,2016,8,3,21,35,82,2,31,900,134,29.5,1000.2,23.2,0,NNW,1.8,Changping
30047,2016,8,3,22,37,68,2,32,900,94,29.4,1000.7,22.4,0,NNE,1.1,Changping
30048,2016,8,3,23,30,46,2,22,800,82,28.5,1001,22.3,0,N,1.3,Changping
30049,2016,8,4,0,28,40,2,14,700,90,27.8,1001.2,22.3,0,NW,1.4,Changping
30050,2016,8,4,1,26,42,2,13,700,87,27,1001.2,22.4,0,NW,1.6,Changping
30051,2016,8,4,2,32,46,2,18,800,72,26.2,1001.1,22.5,0,N,1.5,Changping
30052,2016,8,4,3,34,47,2,14,800,77,26.1,1001,22.4,0,NNW,1.2,Changping
30053,2016,8,4,4,36,55,2,21,900,59,25.3,1001.1,22.6,0,N,0.8,Changping
30054,2016,8,4,5,37,60,2,24,800,45,25.6,1001.6,22.7,0,N,0.9,Changping
30055,2016,8,4,6,44,60,2,23,900,51,25.2,1002,22.5,0,NNW,1.6,Changping
30056,2016,8,4,7,48,70,2,31,1000,39,25.7,1002,22.8,0,N,1.6,Changping
30057,2016,8,4,8,55,77,2,64,1000,31,27.6,1002.1,23.2,0,NNW,1.1,Changping
30058,2016,8,4,9,55,89,2,52,1000,65,29.6,1002,23.1,0,NE,1,Changping
30059,2016,8,4,10,62,110,2,53,1100,86,30.4,1001.7,23.6,0,SSE,2.4,Changping
30060,2016,8,4,11,83,124,2,24,1200,151,31.2,1001.3,24.1,0,SE,1.6,Changping
30061,2016,8,4,12,96,113,2,16,1400,190,32.2,1000.6,25,0,SSW,1.7,Changping
30062,2016,8,4,13,95,104,2,16,1400,219,33,1000.1,24.2,0,S,2.2,Changping
30063,2016,8,4,14,83,87,2,15,1400,243,33.5,999.5,23.8,0,SSE,2,Changping
30064,2016,8,4,15,82,96,2,17,1400,274,34.1,999.2,23.5,0,SE,1.9,Changping
30065,2016,8,4,16,90,128,2,23,1700,326,33.5,999.2,23.8,0,ESE,3.2,Changping
30066,2016,8,4,17,108,144,2,28,2100,303,32.8,999.2,24.3,0,SE,2.6,Changping
30067,2016,8,4,18,104,126,2,32,1900,249,32.1,999.2,24.2,0,ESE,1.9,Changping
30068,2016,8,4,19,100,128,2,37,1900,222,31.7,999.4,24.3,0,SE,2,Changping
30069,2016,8,4,20,93,129,2,42,1800,164,31,1000.1,24.4,0,SSE,2.8,Changping
30070,2016,8,4,21,94,130,2,37,1800,133,30.7,1000.9,24.4,0,ESE,2.2,Changping
30071,2016,8,4,22,100,132,2,33,1900,111,30.1,1001,24.5,0,ESE,2.2,Changping
30072,2016,8,4,23,118,137,2,30,2100,96,29.4,1001.3,24.5,0,SE,1.8,Changping
30073,2016,8,5,0,118,120,2,27,2000,84,28.8,1001.5,24.1,0,ESE,1.9,Changping
30074,2016,8,5,1,92,92,2,32,2200,51,28.5,1001.4,23.6,0,ESE,1.9,Changping
30075,2016,8,5,2,70,70,31,27,700,28,28.1,1001.1,23.2,0,ESE,1.8,Changping
30076,2016,8,5,3,47,47,11,13,600,43,27.7,1001.1,22.9,0,ESE,2.1,Changping
30077,2016,8,5,4,54,60,3,25,500,21,27.3,1001.3,23.1,0,ESE,1.7,Changping
30078,2016,8,5,5,61,69,2,27,700,24,26.6,1001.5,23.7,0,ESE,2.5,Changping
30079,2016,8,5,6,63,64,2,28,800,21,26.5,1001.7,23.8,0,ESE,1.8,Changping
30080,2016,8,5,7,65,68,2,30,800,20,26.5,1001.9,23.8,0,ESE,2.1,Changping
30081,2016,8,5,8,69,79,2,30,900,26,27.2,1002.3,23.9,0,SE,1.5,Changping
30082,2016,8,5,9,73,73,2,24,900,43,28.6,1002,23.3,0,E,1.5,Changping
30083,2016,8,5,10,66,66,2,22,900,83,29.4,1001.9,23.8,0,SSW,1.2,Changping
30084,2016,8,5,11,58,59,2,20,1000,112,29.6,1001.4,23.5,0,SSW,1.4,Changping
30085,2016,8,5,12,64,67,2,18,1000,2,30.7,1001.1,23.4,0,S,1.6,Changping
30086,2016,8,5,13,62,62,2,15,1000,159,31.3,1000.6,22.9,0,SSE,2,Changping
30087,2016,8,5,14,53,53,2,14,1000,168,32.4,999.8,22.5,0,SSE,1.5,Changping
30088,2016,8,5,15,46,53,2,11,1000,178,32.4,999.2,22.5,0,ESE,1.7,Changping
30089,2016,8,5,16,40,40,2,11,800,168,32.7,998.8,21.6,0,ESE,2.1,Changping
30090,2016,8,5,17,43,60,2,11,800,180,32.6,998.8,21.5,0,S,1.9,Changping
30091,2016,8,5,18,46,73,2,16,800,201,32.2,998.6,22,0,SE,1.7,Changping
30092,2016,8,5,19,43,70,2,19,800,191,31.2,998.8,23.1,0,ESE,2.2,Changping
30093,2016,8,5,20,50,83,2,23,900,160,30.5,999.2,23.4,0,E,2.3,Changping
30094,2016,8,5,21,56,97,2,27,900,129,30,999.6,23.7,0,ESE,1.7,Changping
30095,2016,8,5,22,73,104,2,27,1000,111,29.3,999.4,24.2,0,E,2,Changping
30096,2016,8,5,23,94,108,2,22,1100,95,28.5,999.3,24.5,0,N,1.1,Changping
30097,2016,8,6,0,98,98,2,20,1100,77,27.5,999.1,23.9,0,N,1.4,Changping
30098,2016,8,6,1,80,80,2,17,1000,69,26.9,998.8,23.8,0,N,1.3,Changping
30099,2016,8,6,2,71,71,2,18,900,58,26.5,998.7,23.6,0,N,1.1,Changping
30100,2016,8,6,3,70,79,2,18,900,47,26.6,998.6,23.9,0,NE,0.9,Changping
30101,2016,8,6,4,103,105,2,25,900,35,26.3,998.5,23.8,0,NW,1,Changping
30102,2016,8,6,5,94,94,2,36,900,19,26.2,998.4,23.9,0,NNW,0.9,Changping
30103,2016,8,6,6,90,90,2,48,1000,10,26.2,998.6,24.1,0,NNW,0.6,Changping
30104,2016,8,6,7,84,116,2,69,1100,2,26.4,998.7,24.1,0,WSW,1.3,Changping
30105,2016,8,6,8,100,137,2,59,1100,10,27.3,998.5,24.6,0,SSE,1.2,Changping
30106,2016,8,6,9,109,125,2,31,1100,37,28.7,998.1,25.1,0,ESE,1.3,Changping
30107,2016,8,6,10,119,131,2,26,1100,77,29.5,997.8,25,0,ESE,2,Changping
30108,2016,8,6,11,121,121,2,23,1100,147,30.6,997.4,24.5,0,S,2.3,Changping
30109,2016,8,6,12,108,108,2,25,1100,180,32.3,997.1,24.4,0,S,2.5,Changping
30110,2016,8,6,13,100,100,2,27,1100,217,32.4,996.3,23.4,0,SSE,2.3,Changping
30111,2016,8,6,14,75,77,2,21,1000,209,33.8,995.3,23.5,0,SW,2.7,Changping
30112,2016,8,6,15,69,91,2,15,1000,201,33.5,994.7,24.4,0,S,2.7,Changping
30113,2016,8,6,16,78,103,2,17,1000,219,33.1,994.2,23.7,0,ESE,2.4,Changping
30114,2016,8,6,17,68,109,2,20,1100,195,32.9,994.1,24.7,0,SSE,2.5,Changping
30115,2016,8,6,18,86,122,2,24,1200,188,31.9,994.4,24.5,0,SSE,2.5,Changping
30116,2016,8,6,19,81,109,2,25,1100,170,31.3,994.9,24.4,0,S,2.1,Changping
30117,2016,8,6,20,91,132,2,32,1200,134,30.6,995.5,24.7,0,ENE,1.8,Changping
30118,2016,8,6,21,86,127,2,30,1200,113,29.6,996.9,20.5,0,N,4.1,Changping
30119,2016,8,6,22,22,22,2,9,600,111,23.5,997.3,21.9,3.6,N,1.1,Changping
30120,2016,8,6,23,11,11,2,18,600,74,24.1,997.1,22.7,0.2,NW,1.4,Changping
30121,2016,8,7,0,16,16,2,31,600,47,24.2,996.9,22.1,0.3,NNW,1.7,Changping
30122,2016,8,7,1,9,9,2,9,1400,61,24.1,996.9,21.6,0.7,NE,2.3,Changping
30123,2016,8,7,2,7,7,28,11,300,47,24,996.9,21.9,0.3,NNW,2.4,Changping
30124,2016,8,7,3,10,10,2,12,500,45,24.1,997,22.4,0.1,N,1.1,Changping
30125,2016,8,7,4,11,11,2,4,400,56,23.9,997.2,22,0.2,N,2.4,Changping
30126,2016,8,7,5,10,10,2,10,500,64,23.9,997.1,21.8,0,NNW,1.9,Changping
30127,2016,8,7,6,8,21,2,19,700,56,24.3,997.8,22.4,0,SW,0.7,Changping
30128,2016,8,7,7,14,30,2,21,700,38,24.9,998.9,22.2,0,N,1.1,Changping
30129,2016,8,7,8,12,30,2,14,700,50,24,999.8,22.6,1.8,SW,1.1,Changping
30130,2016,8,7,9,16,37,2,46,900,26,23.9,1000.7,22.9,0.2,SW,1.6,Changping
30131,2016,8,7,10,21,21,2,35,1000,39,24.2,1001.1,23.2,0,W,1.3,Changping
30132,2016,8,7,11,25,25,2,30,1000,44,26.4,1000.5,23.3,0,NW,1.3,Changping
30133,2016,8,7,12,15,21,2,27,800,63,28.9,1000.1,23.1,0,SSW,1.9,Changping
30134,2016,8,7,13,17,17,2,13,700,93,30.6,999.4,21.7,0,SSW,2.3,Changping
30135,2016,8,7,14,3,6,2,10,600,100,31.5,999,21.7,0,S,2.4,Changping
30136,2016,8,7,15,10,10,2,10,600,112,32.1,999,21.3,0,SSW,2.3,Changping
30137,2016,8,7,16,10,15,2,8,600,117,32.3,998.6,20.9,0,SSW,2,Changping
30138,2016,8,7,17,11,13,2,9,700,134,32.6,998.5,21.1,0,WSW,1.5,Changping
30139,2016,8,7,18,6,28,2,11,700,132,32,998.6,20.9,0,WSW,1.6,Changping
30140,2016,8,7,19,13,22,2,16,800,134,30.6,999.2,20.8,0,WSW,1.5,Changping
30141,2016,8,7,20,21,45,2,26,800,98,28.1,999.8,22.6,0,N,1.8,Changping
30142,2016,8,7,21,20,55,2,20,900,61,27,1000.6,22,0,NNW,1.3,Changping
30143,2016,8,7,22,12,17,2,14,800,61,26,1000.7,21.9,0,NW,1.2,Changping
30144,2016,8,7,23,16,19,2,17,700,50,25.3,1001,21.6,0,N,1.4,Changping
30145,2016,8,8,0,14,18,2,13,700,54,25,1001.3,21.1,0,NNW,0.9,Changping
30146,2016,8,8,1,14,23,2,11,700,49,24.3,1001.3,21.4,0,N,0.9,Changping
30147,2016,8,8,2,16,17,2,16,700,41,24.1,1001.2,21,0,N,0.9,Changping
30148,2016,8,8,3,16,25,2,18,800,40,23.5,1001.2,21.2,0,NE,1.4,Changping
30149,2016,8,8,4,14,25,2,20,800,27,23.2,1001,21.1,0,N,1.2,Changping
30150,2016,8,8,5,21,29,2,35,800,17,22.8,1001.4,21.1,0,NNW,1.3,Changping
30151,2016,8,8,6,20,41,2,39,800,9,22.8,1002.2,21.1,0,NW,0.8,Changping
30152,2016,8,8,7,29,51,2,59,1100,2,24.4,1002.2,21.3,0,N,0.9,Changping
30153,2016,8,8,8,33,59,2,62,1100,9,26.4,1002.2,22,0,N,1.1,Changping
30154,2016,8,8,9,43,71,2,52,1100,34,27.9,1001.9,21.7,0,SW,1.1,Changping
30155,2016,8,8,10,35,46,2,39,1000,76,29.5,1001.7,21.2,0,SSW,1.3,Changping
30156,2016,8,8,11,21,24,2,19,800,108,30.2,1001.3,20.7,0,ESE,1.4,Changping
30157,2016,8,8,12,18,18,2,10,700,119,31.5,1000.9,18.8,0,SSE,1.9,Changping
30158,2016,8,8,13,14,14,2,6,600,119,31.8,1000.5,18.4,0,ESE,2.5,Changping
30159,2016,8,8,14,15,25,2,8,600,129,32.8,1000.1,18.9,0,S,2.1,Changping
30160,2016,8,8,15,16,16,2,8,600,135,33,999.6,18,0,SE,2.4,Changping
30161,2016,8,8,16,13,13,2,8,600,141,33,999.2,16.8,0,SE,1.9,Changping
30162,2016,8,8,17,7,20,2,11,600,153,32.8,999,17,0,SSW,1.4,Changping
30163,2016,8,8,18,17,26,2,12,700,169,32.3,999,17,0,SE,1.9,Changping
30164,2016,8,8,19,20,46,2,23,800,175,30.8,999.4,18.5,0,S,2.7,Changping
30165,2016,8,8,20,18,73,2,34,1000,133,29.1,1000,19.4,0,S,2,Changping
30166,2016,8,8,21,27,54,2,31,1000,124,28.4,1000.5,19.1,0,SSW,1,Changping
30167,2016,8,8,22,23,53,2,31,1100,98,25.7,1000.5,19.8,0,N,1.2,Changping
30168,2016,8,8,23,26,43,2,22,900,79,25.3,1000.9,19.7,0,N,1.4,Changping
30169,2016,8,9,0,22,40,2,19,1000,72,24.5,1000.9,19.8,0,NNW,1.1,Changping
30170,2016,8,9,1,28,51,2,20,2000,47,24.2,1000.6,19.9,0,N,0.9,Changping
30171,2016,8,9,2,34,47,21,21,900,31,23.5,1000.6,19.4,0,N,1.5,Changping
30172,2016,8,9,3,36,36,2,14,800,38,23,1000.4,19.2,0,NNW,1.2,Changping
30173,2016,8,9,4,32,39,2,17,700,37,22.4,1000.1,19.6,0,NNW,1.2,Changping
30174,2016,8,9,5,37,58,2,70,900,7,21.9,1000.3,19.5,0,NW,0.8,Changping
30175,2016,8,9,6,44,57,2,55,1300,17,21.7,1000.7,19.3,0,N,1.6,Changping
30176,2016,8,9,7,49,53,2,22,1400,44,23,1001.2,19.2,0,NNW,1.4,Changping
30177,2016,8,9,8,41,68,2,38,1400,43,25.4,1001.2,19.5,0,WNW,1.2,Changping
30178,2016,8,9,9,49,57,4,48,1300,55,27.5,1000.8,17.7,0,NNW,1.3,Changping
30179,2016,8,9,10,32,32,7,16,1000,115,29.3,1000.3,17.5,0,SE,1.8,Changping
30180,2016,8,9,11,36,43,7,19,900,139,29.9,1000,17,0,S,1.9,Changping
30181,2016,8,9,12,18,29,7,20,800,168,31,999.5,15,0,S,2.2,Changping
30182,2016,8,9,13,26,35,6,17,800,184,31.6,998.9,16.7,0,SSE,2.3,Changping
30183,2016,8,9,14,29,65,6,18,1000,211,32,998.4,17.5,0,SE,2.6,Changping
30184,2016,8,9,15,41,78,6,22,1100,250,32.6,997.7,18.4,0,SSE,1.6,Changping
30185,2016,8,9,16,44,81,7,23,1400,272,32.5,997.4,18.3,0,ESE,1.8,Changping
30186,2016,8,9,17,51,100,9,23,1900,295,32.3,997,19.5,0,ESE,2,Changping
30187,2016,8,9,18,58,133,6,26,2000,250,31,997.1,22,0,ESE,3.1,Changping
30188,2016,8,9,19,56,117,3,33,1900,188,30.5,997.4,22.1,0,S,2.7,Changping
30189,2016,8,9,20,45,82,2,30,1400,146,29.6,998,22.8,0,S,2.1,Changping
30190,2016,8,9,21,40,69,2,31,1200,118,29.1,998.4,22.8,0,S,1.8,Changping
30191,2016,8,9,22,41,68,2,31,1100,107,28.6,998.6,23.1,0,S,2.3,Changping
30192,2016,8,9,23,39,62,2,33,1000,76,28.3,998.6,23.2,0,SSE,1.7,Changping
30193,2016,8,10,0,41,50,2,30,900,67,27.9,998.6,23.5,0,SE,1.6,Changping
30194,2016,8,10,1,39,54,2,32,900,55,27.5,998.4,23.7,0,SSE,1.1,Changping
30195,2016,8,10,2,44,54,2,30,900,49,26.9,998.2,23.6,0,SSW,0.6,Changping
30196,2016,8,10,3,45,62,2,28,1000,38,26.5,998.1,23.8,0,ESE,1.1,Changping
30197,2016,8,10,4,69,83,2,31,1200,35,25.5,998,23,0,,0.1,Changping
30198,2016,8,10,5,88,107,2,33,1300,27,25.1,998.1,23,0,W,0.4,Changping
30199,2016,8,10,6,90,101,2,50,1400,13,25.3,998.5,23.2,0,W,1,Changping
30200,2016,8,10,7,67,91,2,59,1200,3,26,998.9,23.5,0,SSW,0.8,Changping
30201,2016,8,10,8,95,138,2,67,1600,15,27,999.1,24.3,0,S,1.3,Changping
30202,2016,8,10,9,100,111,2,47,1300,57,28.8,999,24.4,0,S,1.5,Changping
30203,2016,8,10,10,92,102,2,40,1200,80,30.4,998.8,23.8,0,ESE,1.3,Changping
30204,2016,8,10,11,66,66,2,22,900,142,30.8,998.5,22.9,0,S,1.4,Changping
30205,2016,8,10,12,55,69,2,23,800,165,31.4,998,23.5,0,S,2.5,Changping
30206,2016,8,10,13,54,65,2,18,800,203,32.8,997.5,23.7,0,S,2.3,Changping
30207,2016,8,10,14,43,60,2,13,700,184,33,996.6,23.9,0,SSE,2.6,Changping
30208,2016,8,10,15,44,51,2,10,800,172,33.5,996.2,23.8,0,SE,2.2,Changping
30209,2016,8,10,16,53,67,3,10,900,173,33.5,995.9,23.8,0,S,2.8,Changping
30210,2016,8,10,17,62,93,3,13,1100,176,32.7,995.9,23.9,0,S,3.2,Changping
30211,2016,8,10,18,67,105,2,19,1200,160,32.1,995.9,24.2,0,S,2.4,Changping
30212,2016,8,10,19,82,104,2,21,1200,152,31.6,996.4,24.2,0,SSE,2.5,Changping
30213,2016,8,10,20,87,125,2,21,1100,162,31.2,996.9,24.3,0,SSE,3,Changping
30214,2016,8,10,21,92,137,2,20,1100,161,31,997.4,24.6,0,SSE,2.3,Changping
30215,2016,8,10,22,98,143,2,25,1100,139,30.8,997.2,24.9,0,SSE,2.9,Changping
30216,2016,8,10,23,90,124,2,28,1000,91,30.3,997.1,25.1,0,SSE,1.7,Changping
30217,2016,8,11,0,82,105,2,30,900,62,29.6,997.1,25.4,0,SSE,1,Changping
30218,2016,8,11,1,72,93,2,35,1600,35,29.4,996.8,25.4,0,SE,1.6,Changping
30219,2016,8,11,2,69,88,15,25,500,23,29,997,25.4,0,ENE,1.7,Changping
30220,2016,8,11,3,71,82,12,14,700,35,28.2,997,25.2,0,N,0.9,Changping
30221,2016,8,11,4,72,85,5,13,600,28,28.2,997.2,25,0,E,1.4,Changping
30222,2016,8,11,5,72,91,3,25,800,28,28,997.6,25,0,ENE,1.1,Changping
30223,2016,8,11,6,79,98,2,24,1000,27,27.9,998.1,25.1,0,ESE,1.2,Changping
30224,2016,8,11,7,80,102,2,28,1000,25,28.3,998.4,25.1,0,ESE,1.2,Changping
30225,2016,8,11,8,82,105,2,32,1100,27,28.5,998.6,25.3,0,SE,1.6,Changping
30226,2016,8,11,9,94,113,2,30,1100,38,29.5,998.6,25.7,0,ESE,1.4,Changping
30227,2016,8,11,10,92,117,2,22,1100,65,30.6,998.7,25.4,0,SW,0.9,Changping
30228,2016,8,11,11,93,124,2,44,1100,107,31.9,998.2,26,0,SE,1.3,Changping
30229,2016,8,11,12,,,,33,1200,156,32.6,997.9,25.9,0,S,1.3,Changping
30230,2016,8,11,13,94,125,,23,1300,193,33.8,997.3,26.3,0,SSW,2.2,Changping
30231,2016,8,11,14,95,114,,22,1400,230,34.5,996.6,25.9,0,SE,1.6,Changping
30232,2016,8,11,15,95,131,,23,1500,278,34.3,996.3,25.7,0,SSW,1.1,Changping
30233,2016,8,11,16,92,135,,25,1400,249,33.2,996.2,26.7,0,SSE,2.4,Changping
30234,2016,8,11,17,96,123,,27,1500,170,32.7,996.5,26,0,SSE,2.2,Changping
30235,2016,8,11,18,91,99,,25,1500,148,32.3,996.6,26.1,0,S,1.5,Changping
30236,2016,8,11,19,100,118,,29,1700,133,31.4,996.5,26.2,0,S,1.2,Changping
30237,2016,8,11,20,99,138,,26,1700,108,30.5,997.3,26.4,0,N,1.1,Changping
30238,2016,8,11,21,,,,,,,30.1,997.2,26.3,0,N,1,Changping
30239,2016,8,11,22,100,100,,72,1500,74,29.8,997.5,26.2,0,N,1.3,Changping
30240,2016,8,11,23,101,101,,70,1600,61,29.3,997.1,26.3,0,N,0.9,Changping
30241,2016,8,12,0,96,96,,44,1500,57,28.9,997,26.3,0,N,1.2,Changping
30242,2016,8,12,1,89,89,,35,1500,54,28.7,996.7,26.3,0,NNW,1.2,Changping
30243,2016,8,12,2,93,93,,58,1400,51,28.2,996.7,26.4,0,N,0.8,Changping
30244,2016,8,12,3,99,102,,72,1500,17,27.9,996.4,26.3,0,ENE,0.4,Changping
30245,2016,8,12,4,104,111,,75,1600,4,27.9,996.4,26.3,0,WNW,0.9,Changping
30246,2016,8,12,5,101,129,,188,1600,2,27.8,996.6,26.4,0,NW,0.9,Changping
30247,2016,8,12,6,,,,,,,28,996.7,26.4,0,W,0.4,Changping
30248,2016,8,12,7,103,129,,100,1600,2,28.2,996.5,26.4,0,NNW,1,Changping
30249,2016,8,12,8,108,122,,97,1600,7,29.5,996.4,26.7,0,NW,0.7,Changping
30250,2016,8,12,9,114,143,,81,1600,18,30.8,996.6,26.9,0,WSW,0.8,Changping
30251,2016,8,12,10,114,143,2,77,1600,24,30.6,996.4,26.5,0,S,1.7,Changping
30252,2016,8,12,11,123,123,2,51,1400,53,25.3,997.5,23.5,7,W,5.7,Changping
30253,2016,8,12,12,,5,2,29,900,65,25.2,996.7,23.8,5.6,NNE,2.2,Changping
30254,2016,8,12,13,10,10,2,29,1000,60,26.7,996.9,23.6,0,N,1.5,Changping
30255,2016,8,12,14,10,10,2,20,800,65,29.2,997,22.4,0,N,2.3,Changping
30256,2016,8,12,15,11,11,2,16,700,65,29.1,996.8,21.8,0,N,1.5,Changping
30257,2016,8,12,16,17,17,2,18,600,63,29.4,996,21.9,0,N,2.2,Changping
30258,2016,8,12,17,16,16,2,38,600,64,29.8,995.3,22.3,0,NW,1.2,Changping
30259,2016,8,12,18,19,49,2,32,600,47,29.3,996,22.5,0,SW,0.3,Changping
30260,2016,8,12,19,,,,,,,28.5,996.2,24.1,0,ENE,1.6,Changping
30261,2016,8,12,20,18,45,2,20,900,40,27.2,996.9,23.7,0,ESE,0.7,Changping
30262,2016,8,12,21,23,23,2,21,900,31,26.4,997.3,23.1,0,NNW,1.3,Changping
30263,2016,8,12,22,20,20,2,32,700,30,25.7,997.5,23,0,NNW,1.4,Changping
30264,2016,8,12,23,18,18,2,27,600,17,25.2,997.1,21.5,0,N,1.4,Changping
30265,2016,8,13,0,14,14,2,17,500,21,24.4,996.7,21.3,0,NW,1.7,Changping
30266,2016,8,13,1,14,14,2,22,1400,12,24.2,996.3,21.5,0,N,1,Changping
30267,2016,8,13,2,18,26,33,32,400,2,24.6,996.4,21.5,0,WSW,1.1,Changping
30268,2016,8,13,3,15,18,4,16,500,11,24.3,996,21.6,0,NNW,1.5,Changping
30269,2016,8,13,4,14,31,4,21,500,5,24.8,996.3,22.3,0,S,1.2,Changping
30270,2016,8,13,5,16,33,2,28,600,7,24.8,996.5,21.5,0,ENE,0.9,Changping
30271,2016,8,13,6,18,36,2,23,700,10,24.2,996.9,21.9,0,NNW,1.2,Changping
30272,2016,8,13,7,24,63,2,34,1000,4,24.7,997.3,22.4,0,NNW,1.1,Changping
30273,2016,8,13,8,32,71,3,42,1100,2,25.5,997.7,22.4,0,N,1.1,Changping
30274,2016,8,13,9,27,60,3,46,1000,3,26.5,997.7,22.8,0,WNW,1.1,Changping
30275,2016,8,13,10,25,59,3,45,1100,2,27.5,997.8,23.5,0,W,0.9,Changping
30276,2016,8,13,11,22,35,3,44,900,9,27.9,997.8,22.8,0,ENE,0.4,Changping
30277,2016,8,13,12,20,50,3,38,1000,9,28.4,997.4,22.6,0,NNW,1,Changping
30278,2016,8,13,13,25,36,5,32,1000,26,29.7,997,22.9,0,NW,1.9,Changping
30279,2016,8,13,14,21,47,5,36,1000,26,30.5,996.7,21.6,0,NNW,1.1,Changping
30280,2016,8,13,15,17,17,5,29,800,44,30.6,996.1,19,0,N,1.3,Changping
30281,2016,8,13,16,19,34,5,32,800,45,29,996.5,19.3,0,N,1.8,Changping
